Year,Code,Team,Ranking Group Abbreviation,Ranking Group,Date,Rank
cf2006    ,    7840, Texas               , ARG, ARGH                ,   20060801,    1
cf2006    ,    8251, USC                 , ARG, ARGH                ,   20060801,    2
cf2006    ,    8459, Virginia Tech       , ARG, ARGH                ,   20060801,    3
cf2006    ,    5850, Ohio St             , ARG, ARGH                ,   20060801,    4
cf2006    ,    4719, Miami FL            , ARG, ARGH                ,   20060801,    5
cf2006    ,     402, Auburn              , ARG, ARGH                ,   20060801,    6
cf2006    ,    4206, LSU                 , ARG, ARGH                ,   20060801,    7
cf2006    ,    6114, Penn St             , ARG, ARGH                ,   20060801,    8
cf2006    ,    5886, Oklahoma            , ARG, ARGH                ,   20060801,    9
cf2006    ,    4741, Michigan            , ARG, ARGH                ,   20060801,   10
cf2006    ,    4224, Louisville          , ARG, ARGH                ,   20060801,   11
cf2006    ,    5749, Notre Dame          , ARG, ARGH                ,   20060801,   12
cf2006    ,    2625, Florida             , ARG, ARGH                ,   20060801,   13
cf2006    ,    8716, West Virginia       , ARG, ARGH                ,   20060801,   14
cf2006    ,    2881, Georgia             , ARG, ARGH                ,   20060801,   15
cf2006    ,     783, Boston College      , ARG, ARGH                ,   20060801,   16
cf2006    ,      74, Alabama             , ARG, ARGH                ,   20060801,   17
cf2006    ,    3540, Iowa                , ARG, ARGH                ,   20060801,   18
cf2006    ,    2666, Florida St          , ARG, ARGH                ,   20060801,   19
cf2006    ,    7918, Texas Tech          , ARG, ARGH                ,   20060801,   20
cf2006    ,    1603, Clemson             , ARG, ARGH                ,   20060801,   21
cf2006    ,    1098, California          , ARG, ARGH                ,   20060801,   22
cf2006    ,    7878, TCU                 , ARG, ARGH                ,   20060801,   23
cf2006    ,    9031, Wisconsin           , ARG, ARGH                ,   20060801,   24
cf2006    ,    4858, Minnesota           , ARG, ARGH                ,   20060801,   25
cf2006    ,     304, Arizona St          , ARG, ARGH                ,   20060801,   26
cf2006    ,    5961, Oregon              , ARG, ARGH                ,   20060801,   27
cf2006    ,    2911, Georgia Tech        , ARG, ARGH                ,   20060801,   28
cf2006    ,    8141, UCLA                , ARG, ARGH                ,   20060801,   29
cf2006    ,    5279, Nebraska            , ARG, ARGH                ,   20060801,   30
cf2006    ,    4474, Maryland            , ARG, ARGH                ,   20060801,   31
cf2006    ,     316, Arkansas            , ARG, ARGH                ,   20060801,   32
cf2006    ,    3554, Iowa St             , ARG, ARGH                ,   20060801,   33
cf2006    ,    7848, Texas A&M           , ARG, ARGH                ,   20060801,   34
cf2006    ,    8315, Utah                , ARG, ARGH                ,   20060801,   35
cf2006    ,    5511, NC State            , ARG, ARGH                ,   20060801,   36
cf2006    ,    8432, Virginia            , ARG, ARGH                ,   20060801,   37
cf2006    ,    4757, Michigan St         , ARG, ARGH                ,   20060801,   38
cf2006    ,     771, Boise St            , ARG, ARGH                ,   20060801,   39
cf2006    ,    2776, Fresno St           , ARG, ARGH                ,   20060801,   40
cf2006    ,    8508, Wake Forest         , ARG, ARGH                ,   20060801,   41
cf2006    ,    7801, Tennessee           , ARG, ARGH                ,   20060801,   42
cf2006    ,    7242, South Carolina      , ARG, ARGH                ,   20060801,   43
cf2006    ,    8099, Tulsa               , ARG, ARGH                ,   20060801,   44
cf2006    ,    5704, Northwestern        , ARG, ARGH                ,   20060801,   45
cf2006    ,    4948, Missouri            , ARG, ARGH                ,   20060801,   46
cf2006    ,    5492, North Carolina      , ARG, ARGH                ,   20060801,   47
cf2006    ,    6393, Purdue              , ARG, ARGH                ,   20060801,   48
cf2006    ,    7582, Stanford            , ARG, ARGH                ,   20060801,   49
cf2006    ,    5970, Oregon St           , ARG, ARGH                ,   20060801,   50
cf2006    ,    7278, South Florida       , ARG, ARGH                ,   20060801,   51
cf2006    ,    1715, Colorado            , ARG, ARGH                ,   20060801,   52
cf2006    ,    7933, UTEP                , ARG, ARGH                ,   20060801,   53
cf2006    ,    3717, Kansas              , ARG, ARGH                ,   20060801,   54
cf2006    ,    6236, Pittsburgh          , ARG, ARGH                ,   20060801,   55
cf2006    ,     891, BYU                 , ARG, ARGH                ,   20060801,   56
cf2006    ,    3731, Kansas St           , ARG, ARGH                ,   20060801,   57
cf2006    ,    5634, N Illinois          , ARG, ARGH                ,   20060801,   58
cf2006    ,    8588, Washington St       , ARG, ARGH                ,   20060801,   59
cf2006    ,    7365, Southern Miss       , ARG, ARGH                ,   20060801,   60
cf2006    ,    7978, Toledo              , ARG, ARGH                ,   20060801,   61
cf2006    ,    1872, Connecticut         , ARG, ARGH                ,   20060801,   62
cf2006    ,    5253, Navy                , ARG, ARGH                ,   20060801,   63
cf2006    ,    5912, Oklahoma St         , ARG, ARGH                ,   20060801,   64
cf2006    ,     294, Arizona             , ARG, ARGH                ,   20060801,   65
cf2006    ,    6696, Rutgers             , ARG, ARGH                ,   20060801,   66
cf2006    ,    3425, Illinois            , ARG, ARGH                ,   20060801,   67
cf2006    ,     557, Baylor              , ARG, ARGH                ,   20060801,   68
cf2006    ,    1529, Cincinnati          , ARG, ARGH                ,   20060801,   69
cf2006    ,    4636, Memphis             , ARG, ARGH                ,   20060801,   70
cf2006    ,    1380, UCF                 , ARG, ARGH                ,   20060801,   71
cf2006    ,    1753, Colorado St         , ARG, ARGH                ,   20060801,   72
cf2006    ,    5371, New Mexico          , ARG, ARGH                ,   20060801,   73
