,    1,    8251,   20050801, ARG, ARGH                , USC                 ,cf2005    
0,2.0,7840.0,20050801.0, ARG, ARGH                , Texas               ,cf2005    
1,3.0,402.0,20050801.0, ARG, ARGH                , Auburn              ,cf2005    
2,4.0,5886.0,20050801.0, ARG, ARGH                , Oklahoma            ,cf2005    
3,5.0,4719.0,20050801.0, ARG, ARGH                , Miami FL            ,cf2005    
4,6.0,2881.0,20050801.0, ARG, ARGH                , Georgia             ,cf2005    
5,7.0,5850.0,20050801.0, ARG, ARGH                , Ohio St             ,cf2005    
6,8.0,7801.0,20050801.0, ARG, ARGH                , Tennessee           ,cf2005    
7,9.0,4741.0,20050801.0, ARG, ARGH                , Michigan            ,cf2005    
8,10.0,4206.0,20050801.0, ARG, ARGH                , LSU                 ,cf2005    
9,11.0,3540.0,20050801.0, ARG, ARGH                , Iowa                ,cf2005    
10,12.0,771.0,20050801.0, ARG, ARGH                , Boise St            ,cf2005    
11,13.0,2666.0,20050801.0, ARG, ARGH                , Florida St          ,cf2005    
12,14.0,6393.0,20050801.0, ARG, ARGH                , Purdue              ,cf2005    
13,15.0,8459.0,20050801.0, ARG, ARGH                , Virginia Tech       ,cf2005    
14,16.0,7848.0,20050801.0, ARG, ARGH                , Texas A&M           ,cf2005    
15,17.0,1098.0,20050801.0, ARG, ARGH                , California          ,cf2005    
16,18.0,8432.0,20050801.0, ARG, ARGH                , Virginia            ,cf2005    
17,19.0,304.0,20050801.0, ARG, ARGH                , Arizona St          ,cf2005    
18,20.0,8315.0,20050801.0, ARG, ARGH                , Utah                ,cf2005    
19,21.0,4224.0,20050801.0, ARG, ARGH                , Louisville          ,cf2005    
20,22.0,1715.0,20050801.0, ARG, ARGH                , Colorado            ,cf2005    
21,23.0,2625.0,20050801.0, ARG, ARGH                , Florida             ,cf2005    
22,24.0,7918.0,20050801.0, ARG, ARGH                , Texas Tech          ,cf2005    
23,25.0,2911.0,20050801.0, ARG, ARGH                , Georgia Tech        ,cf2005    
24,26.0,1603.0,20050801.0, ARG, ARGH                , Clemson             ,cf2005    
25,27.0,2776.0,20050801.0, ARG, ARGH                , Fresno St           ,cf2005    
26,28.0,4858.0,20050801.0, ARG, ARGH                , Minnesota           ,cf2005    
27,29.0,5912.0,20050801.0, ARG, ARGH                , Oklahoma St         ,cf2005    
28,30.0,5970.0,20050801.0, ARG, ARGH                , Oregon St           ,cf2005    
29,31.0,5511.0,20050801.0, ARG, ARGH                , NC State            ,cf2005    
30,32.0,316.0,20050801.0, ARG, ARGH                , Arkansas            ,cf2005    
31,33.0,9031.0,20050801.0, ARG, ARGH                , Wisconsin           ,cf2005    
32,34.0,8588.0,20050801.0, ARG, ARGH                , Washington St       ,cf2005    
33,35.0,8141.0,20050801.0, ARG, ARGH                , UCLA                ,cf2005    
34,36.0,5749.0,20050801.0, ARG, ARGH                , Notre Dame          ,cf2005    
35,37.0,6236.0,20050801.0, ARG, ARGH                , Pittsburgh          ,cf2005    
36,38.0,4474.0,20050801.0, ARG, ARGH                , Maryland            ,cf2005    
37,39.0,783.0,20050801.0, ARG, ARGH                , Boston College      ,cf2005    
38,40.0,5371.0,20050801.0, ARG, ARGH                , New Mexico          ,cf2005    
39,41.0,3717.0,20050801.0, ARG, ARGH                , Kansas              ,cf2005    
40,42.0,4757.0,20050801.0, ARG, ARGH                , Michigan St         ,cf2005    
41,43.0,821.0,20050801.0, ARG, ARGH                , Bowling Green       ,cf2005    
42,44.0,5961.0,20050801.0, ARG, ARGH                , Oregon              ,cf2005    
43,45.0,9162.0,20050801.0, ARG, ARGH                , Wyoming             ,cf2005    
44,46.0,74.0,20050801.0, ARG, ARGH                , Alabama             ,cf2005    
45,47.0,3731.0,20050801.0, ARG, ARGH                , Kansas St           ,cf2005    
46,48.0,4725.0,20050801.0, ARG, ARGH                , Miami OH            ,cf2005    
47,49.0,5492.0,20050801.0, ARG, ARGH                , North Carolina      ,cf2005    
48,50.0,5704.0,20050801.0, ARG, ARGH                , Northwestern        ,cf2005    
49,51.0,7582.0,20050801.0, ARG, ARGH                , Stanford            ,cf2005    
50,52.0,3554.0,20050801.0, ARG, ARGH                , Iowa St             ,cf2005    
51,53.0,7365.0,20050801.0, ARG, ARGH                , Southern Miss       ,cf2005    
52,54.0,1753.0,20050801.0, ARG, ARGH                , Colorado St         ,cf2005    
53,55.0,8508.0,20050801.0, ARG, ARGH                , Wake Forest         ,cf2005    
54,56.0,6114.0,20050801.0, ARG, ARGH                , Penn St             ,cf2005    
55,57.0,4948.0,20050801.0, ARG, ARGH                , Missouri            ,cf2005    
56,58.0,7729.0,20050801.0, ARG, ARGH                , Syracuse            ,cf2005    
57,59.0,7978.0,20050801.0, ARG, ARGH                , Toledo              ,cf2005    
58,60.0,5279.0,20050801.0, ARG, ARGH                , Nebraska            ,cf2005    
59,61.0,87.0,20050801.0, ARG, ARGH                , UAB                 ,cf2005    
60,62.0,891.0,20050801.0, ARG, ARGH                , BYU                 ,cf2005    
61,63.0,4920.0,20050801.0, ARG, ARGH                , Mississippi         ,cf2005    
62,64.0,8716.0,20050801.0, ARG, ARGH                , West Virginia       ,cf2005    
63,65.0,1872.0,20050801.0, ARG, ARGH                , Connecticut         ,cf2005    
64,66.0,7242.0,20050801.0, ARG, ARGH                , South Carolina      ,cf2005    
65,67.0,294.0,20050801.0, ARG, ARGH                , Arizona             ,cf2005    
66,68.0,4218.0,20050801.0, ARG, ARGH                , Louisiana Tech      ,cf2005    
67,69.0,5634.0,20050801.0, ARG, ARGH                , N Illinois          ,cf2005    
68,70.0,7933.0,20050801.0, ARG, ARGH                , UTEP                ,cf2005    
69,71.0,6696.0,20050801.0, ARG, ARGH                , Rutgers             ,cf2005    
70,72.0,55.0,20050801.0, ARG, ARGH                , Air Force           ,cf2005    
71,73.0,4636.0,20050801.0, ARG, ARGH                , Memphis             ,cf2005    
72,74.0,7278.0,20050801.0, ARG, ARGH                , South Florida       ,cf2005    
73,75.0,7002.0,20050801.0, ARG, ARGH                , San Diego St        ,cf2005    
74,76.0,3347.0,20050801.0, ARG, ARGH                , Houston             ,cf2005    
75,77.0,7878.0,20050801.0, ARG, ARGH                , TCU                 ,cf2005    
76,78.0,8068.0,20050801.0, ARG, ARGH                , Troy                ,cf2005    
77,79.0,8551.0,20050801.0, ARG, ARGH                , Washington          ,cf2005    
78,80.0,8092.0,20050801.0, ARG, ARGH                , Tulane              ,cf2005    
79,81.0,4785.0,20050801.0, ARG, ARGH                , MTSU                ,cf2005    
80,82.0,4936.0,20050801.0, ARG, ARGH                , Mississippi St      ,cf2005    
81,83.0,2265.0,20050801.0, ARG, ARGH                , Duke                ,cf2005    
82,84.0,3197.0,20050801.0, ARG, ARGH                , Hawaii              ,cf2005    
83,85.0,1529.0,20050801.0, ARG, ARGH                , Cincinnati          ,cf2005    
84,86.0,5253.0,20050801.0, ARG, ARGH                , Navy                ,cf2005    
85,87.0,7358.0,20050801.0, ARG, ARGH                , SMU                 ,cf2005    
86,88.0,8367.0,20050801.0, ARG, ARGH                , Vanderbilt          ,cf2005    
87,89.0,5316.0,20050801.0, ARG, ARGH                , Nevada              ,cf2005    
88,90.0,8099.0,20050801.0, ARG, ARGH                , Tulsa               ,cf2005    
89,91.0,557.0,20050801.0, ARG, ARGH                , Baylor              ,cf2005    
90,92.0,5584.0,20050801.0, ARG, ARGH                , North Texas         ,cf2005    
91,93.0,3781.0,20050801.0, ARG, ARGH                , Kentucky            ,cf2005    
92,94.0,66.0,20050801.0, ARG, ARGH                , Akron               ,cf2005    
93,95.0,4436.0,20050801.0, ARG, ARGH                , Marshall            ,cf2005    
94,96.0,3425.0,20050801.0, ARG, ARGH                , Illinois            ,cf2005    
95,97.0,4200.0,20050801.0, ARG, ARGH                , ULM                 ,cf2005    
96,98.0,3771.0,20050801.0, ARG, ARGH                , Kent                ,cf2005    
97,99.0,5323.0,20050801.0, ARG, ARGH                , UNLV                ,cf2005    
98,100.0,3484.0,20050801.0, ARG, ARGH                , Indiana             ,cf2005    
99,101.0,4194.0,20050801.0, ARG, ARGH                , ULL                 ,cf2005    
100,102.0,6535.0,20050801.0, ARG, ARGH                , Rice                ,cf2005    
101,103.0,5387.0,20050801.0, ARG, ARGH                , New Mexico St       ,cf2005    
102,104.0,2638.0,20050801.0, ARG, ARGH                , FL Atlantic         ,cf2005    
103,105.0,3415.0,20050801.0, ARG, ARGH                , Idaho               ,cf2005    
104,106.0,333.0,20050801.0, ARG, ARGH                , Arkansas St         ,cf2005    
105,107.0,1404.0,20050801.0, ARG, ARGH                , C Michigan          ,cf2005    
106,108.0,501.0,20050801.0, ARG, ARGH                , Ball St             ,cf2005    
107,109.0,7788.0,20050801.0, ARG, ARGH                , Temple              ,cf2005    
108,110.0,356.0,20050801.0, ARG, ARGH                , Army                ,cf2005    
109,111.0,5825.0,20050801.0, ARG, ARGH                , Ohio                ,cf2005    
110,112.0,2353.0,20050801.0, ARG, ARGH                , E Michigan          ,cf2005    
111,113.0,2292.0,20050801.0, ARG, ARGH                , East Carolina       ,cf2005    
112,114.0,8767.0,20050801.0, ARG, ARGH                , W Michigan          ,cf2005    
113,115.0,8325.0,20050801.0, ARG, ARGH                , Utah St             ,cf2005    
114,116.0,7024.0,20050801.0, ARG, ARGH                , San Jose St         ,cf2005    
115,117.0,1380.0,20050801.0, ARG, ARGH                , UCF                 ,cf2005    
116,118.0,2652.0,20050801.0, ARG, ARGH                , Florida Intl        ,cf2005    
117,119.0,979.0,20050801.0, ARG, ARGH                , Buffalo             ,cf2005    
8754,1.0,8251.0,20050905.0, ARG, ARGH                , USC                 ,cf2005    
8755,2.0,7840.0,20050905.0, ARG, ARGH                , Texas               ,cf2005    
8756,3.0,2881.0,20050905.0, ARG, ARGH                , Georgia             ,cf2005    
8757,4.0,5850.0,20050905.0, ARG, ARGH                , Ohio St             ,cf2005    
8758,5.0,4206.0,20050905.0, ARG, ARGH                , LSU                 ,cf2005    
8759,6.0,7801.0,20050905.0, ARG, ARGH                , Tennessee           ,cf2005    
8760,7.0,2666.0,20050905.0, ARG, ARGH                , Florida St          ,cf2005    
8761,8.0,4741.0,20050905.0, ARG, ARGH                , Michigan            ,cf2005    
8762,9.0,402.0,20050905.0, ARG, ARGH                , Auburn              ,cf2005    
8763,10.0,3540.0,20050905.0, ARG, ARGH                , Iowa                ,cf2005    
8764,11.0,4719.0,20050905.0, ARG, ARGH                , Miami FL            ,cf2005    
8765,12.0,8459.0,20050905.0, ARG, ARGH                , Virginia Tech       ,cf2005    
8766,13.0,6393.0,20050905.0, ARG, ARGH                , Purdue              ,cf2005    
8767,14.0,5886.0,20050905.0, ARG, ARGH                , Oklahoma            ,cf2005    
8768,15.0,771.0,20050905.0, ARG, ARGH                , Boise St            ,cf2005    
8769,16.0,2911.0,20050905.0, ARG, ARGH                , Georgia Tech        ,cf2005    
8770,17.0,1098.0,20050905.0, ARG, ARGH                , California          ,cf2005    
8771,18.0,8432.0,20050905.0, ARG, ARGH                , Virginia            ,cf2005    
8772,19.0,7848.0,20050905.0, ARG, ARGH                , Texas A&M           ,cf2005    
8773,20.0,2625.0,20050905.0, ARG, ARGH                , Florida             ,cf2005    
8774,21.0,8315.0,20050905.0, ARG, ARGH                , Utah                ,cf2005    
8775,22.0,1715.0,20050905.0, ARG, ARGH                , Colorado            ,cf2005    
8776,23.0,304.0,20050905.0, ARG, ARGH                , Arizona St          ,cf2005    
8777,24.0,4224.0,20050905.0, ARG, ARGH                , Louisville          ,cf2005    
8778,25.0,7918.0,20050905.0, ARG, ARGH                , Texas Tech          ,cf2005    
8779,26.0,1603.0,20050905.0, ARG, ARGH                , Clemson             ,cf2005    
8780,27.0,4858.0,20050905.0, ARG, ARGH                , Minnesota           ,cf2005    
8781,28.0,2776.0,20050905.0, ARG, ARGH                , Fresno St           ,cf2005    
8782,29.0,9031.0,20050905.0, ARG, ARGH                , Wisconsin           ,cf2005    
8783,30.0,5749.0,20050905.0, ARG, ARGH                , Notre Dame          ,cf2005    
8784,31.0,8141.0,20050905.0, ARG, ARGH                , UCLA                ,cf2005    
8785,32.0,783.0,20050905.0, ARG, ARGH                , Boston College      ,cf2005    
8786,33.0,5970.0,20050905.0, ARG, ARGH                , Oregon St           ,cf2005    
8787,34.0,316.0,20050905.0, ARG, ARGH                , Arkansas            ,cf2005    
8788,35.0,8588.0,20050905.0, ARG, ARGH                , Washington St       ,cf2005    
8789,36.0,5912.0,20050905.0, ARG, ARGH                , Oklahoma St         ,cf2005    
8790,37.0,5511.0,20050905.0, ARG, ARGH                , NC State            ,cf2005    
8791,38.0,4474.0,20050905.0, ARG, ARGH                , Maryland            ,cf2005    
8792,39.0,5961.0,20050905.0, ARG, ARGH                , Oregon              ,cf2005    
8793,40.0,4757.0,20050905.0, ARG, ARGH                , Michigan St         ,cf2005    
8794,41.0,74.0,20050905.0, ARG, ARGH                , Alabama             ,cf2005    
8795,42.0,3717.0,20050905.0, ARG, ARGH                , Kansas              ,cf2005    
8796,43.0,5371.0,20050905.0, ARG, ARGH                , New Mexico          ,cf2005    
8797,44.0,6236.0,20050905.0, ARG, ARGH                , Pittsburgh          ,cf2005    
8798,45.0,821.0,20050905.0, ARG, ARGH                , Bowling Green       ,cf2005    
8799,46.0,6114.0,20050905.0, ARG, ARGH                , Penn St             ,cf2005    
8800,47.0,3731.0,20050905.0, ARG, ARGH                , Kansas St           ,cf2005    
8801,48.0,5492.0,20050905.0, ARG, ARGH                , North Carolina      ,cf2005    
8802,49.0,5704.0,20050905.0, ARG, ARGH                , Northwestern        ,cf2005    
8803,50.0,9162.0,20050905.0, ARG, ARGH                , Wyoming             ,cf2005    
8804,51.0,7582.0,20050905.0, ARG, ARGH                , Stanford            ,cf2005    
8805,52.0,7365.0,20050905.0, ARG, ARGH                , Southern Miss       ,cf2005    
8806,53.0,4948.0,20050905.0, ARG, ARGH                , Missouri            ,cf2005    
8807,54.0,4725.0,20050905.0, ARG, ARGH                , Miami OH            ,cf2005    
8808,55.0,8716.0,20050905.0, ARG, ARGH                , West Virginia       ,cf2005    
8809,56.0,1753.0,20050905.0, ARG, ARGH                , Colorado St         ,cf2005    
8810,57.0,3554.0,20050905.0, ARG, ARGH                , Iowa St             ,cf2005    
8811,58.0,4920.0,20050905.0, ARG, ARGH                , Mississippi         ,cf2005    
8812,59.0,7978.0,20050905.0, ARG, ARGH                , Toledo              ,cf2005    
8813,60.0,5279.0,20050905.0, ARG, ARGH                , Nebraska            ,cf2005    
8814,61.0,87.0,20050905.0, ARG, ARGH                , UAB                 ,cf2005    
8815,62.0,7878.0,20050905.0, ARG, ARGH                , TCU                 ,cf2005    
8816,63.0,1872.0,20050905.0, ARG, ARGH                , Connecticut         ,cf2005    
8817,64.0,8508.0,20050905.0, ARG, ARGH                , Wake Forest         ,cf2005    
8818,65.0,7729.0,20050905.0, ARG, ARGH                , Syracuse            ,cf2005    
8819,66.0,7933.0,20050905.0, ARG, ARGH                , UTEP                ,cf2005    
8820,67.0,55.0,20050905.0, ARG, ARGH                , Air Force           ,cf2005    
8821,68.0,7242.0,20050905.0, ARG, ARGH                , South Carolina      ,cf2005    
8822,69.0,294.0,20050905.0, ARG, ARGH                , Arizona             ,cf2005    
8823,70.0,891.0,20050905.0, ARG, ARGH                , BYU                 ,cf2005    
8824,71.0,5634.0,20050905.0, ARG, ARGH                , N Illinois          ,cf2005    
8825,72.0,4218.0,20050905.0, ARG, ARGH                , Louisiana Tech      ,cf2005    
8826,73.0,8068.0,20050905.0, ARG, ARGH                , Troy                ,cf2005    
