,    1,    7840,   20060801, ARG, ARGH                , Texas               ,cf2006    
0,2.0,8251.0,20060801.0, ARG, ARGH                , USC                 ,cf2006    
1,3.0,8459.0,20060801.0, ARG, ARGH                , Virginia Tech       ,cf2006    
2,4.0,5850.0,20060801.0, ARG, ARGH                , Ohio St             ,cf2006    
3,5.0,4719.0,20060801.0, ARG, ARGH                , Miami FL            ,cf2006    
4,6.0,402.0,20060801.0, ARG, ARGH                , Auburn              ,cf2006    
5,7.0,4206.0,20060801.0, ARG, ARGH                , LSU                 ,cf2006    
6,8.0,6114.0,20060801.0, ARG, ARGH                , Penn St             ,cf2006    
7,9.0,5886.0,20060801.0, ARG, ARGH                , Oklahoma            ,cf2006    
8,10.0,4741.0,20060801.0, ARG, ARGH                , Michigan            ,cf2006    
9,11.0,4224.0,20060801.0, ARG, ARGH                , Louisville          ,cf2006    
10,12.0,5749.0,20060801.0, ARG, ARGH                , Notre Dame          ,cf2006    
11,13.0,2625.0,20060801.0, ARG, ARGH                , Florida             ,cf2006    
12,14.0,8716.0,20060801.0, ARG, ARGH                , West Virginia       ,cf2006    
13,15.0,2881.0,20060801.0, ARG, ARGH                , Georgia             ,cf2006    
14,16.0,783.0,20060801.0, ARG, ARGH                , Boston College      ,cf2006    
15,17.0,74.0,20060801.0, ARG, ARGH                , Alabama             ,cf2006    
16,18.0,3540.0,20060801.0, ARG, ARGH                , Iowa                ,cf2006    
17,19.0,2666.0,20060801.0, ARG, ARGH                , Florida St          ,cf2006    
18,20.0,7918.0,20060801.0, ARG, ARGH                , Texas Tech          ,cf2006    
19,21.0,1603.0,20060801.0, ARG, ARGH                , Clemson             ,cf2006    
20,22.0,1098.0,20060801.0, ARG, ARGH                , California          ,cf2006    
21,23.0,7878.0,20060801.0, ARG, ARGH                , TCU                 ,cf2006    
22,24.0,9031.0,20060801.0, ARG, ARGH                , Wisconsin           ,cf2006    
23,25.0,4858.0,20060801.0, ARG, ARGH                , Minnesota           ,cf2006    
24,26.0,304.0,20060801.0, ARG, ARGH                , Arizona St          ,cf2006    
25,27.0,5961.0,20060801.0, ARG, ARGH                , Oregon              ,cf2006    
26,28.0,2911.0,20060801.0, ARG, ARGH                , Georgia Tech        ,cf2006    
27,29.0,8141.0,20060801.0, ARG, ARGH                , UCLA                ,cf2006    
28,30.0,5279.0,20060801.0, ARG, ARGH                , Nebraska            ,cf2006    
29,31.0,4474.0,20060801.0, ARG, ARGH                , Maryland            ,cf2006    
30,32.0,316.0,20060801.0, ARG, ARGH                , Arkansas            ,cf2006    
31,33.0,3554.0,20060801.0, ARG, ARGH                , Iowa St             ,cf2006    
32,34.0,7848.0,20060801.0, ARG, ARGH                , Texas A&M           ,cf2006    
33,35.0,8315.0,20060801.0, ARG, ARGH                , Utah                ,cf2006    
34,36.0,5511.0,20060801.0, ARG, ARGH                , NC State            ,cf2006    
35,37.0,8432.0,20060801.0, ARG, ARGH                , Virginia            ,cf2006    
36,38.0,4757.0,20060801.0, ARG, ARGH                , Michigan St         ,cf2006    
