,    1,    5850,   20080801, ARG, ARGH                , Ohio St             ,cf2008    
0,2.0,2625.0,20080801.0, ARG, ARGH                , Florida             ,cf2008    
1,3.0,2881.0,20080801.0, ARG, ARGH                , Georgia             ,cf2008    
2,4.0,4206.0,20080801.0, ARG, ARGH                , LSU                 ,cf2008    
3,5.0,8251.0,20080801.0, ARG, ARGH                , USC                 ,cf2008    
4,6.0,4948.0,20080801.0, ARG, ARGH                , Missouri            ,cf2008    
5,7.0,402.0,20080801.0, ARG, ARGH                , Auburn              ,cf2008    
6,8.0,5886.0,20080801.0, ARG, ARGH                , Oklahoma            ,cf2008    
7,9.0,8716.0,20080801.0, ARG, ARGH                , West Virginia       ,cf2008    
8,10.0,1603.0,20080801.0, ARG, ARGH                , Clemson             ,cf2008    
9,11.0,8459.0,20080801.0, ARG, ARGH                , Virginia Tech       ,cf2008    
10,12.0,7278.0,20080801.0, ARG, ARGH                , South Florida       ,cf2008    
11,13.0,304.0,20080801.0, ARG, ARGH                , Arizona St          ,cf2008    
12,14.0,5961.0,20080801.0, ARG, ARGH                , Oregon              ,cf2008    
13,15.0,7242.0,20080801.0, ARG, ARGH                , South Carolina      ,cf2008    
14,16.0,7801.0,20080801.0, ARG, ARGH                , Tennessee           ,cf2008    
15,17.0,3717.0,20080801.0, ARG, ARGH                , Kansas              ,cf2008    
16,18.0,891.0,20080801.0, ARG, ARGH                , BYU                 ,cf2008    
17,19.0,7840.0,20080801.0, ARG, ARGH                , Texas               ,cf2008    
18,20.0,6114.0,20080801.0, ARG, ARGH                , Penn St             ,cf2008    
19,21.0,74.0,20080801.0, ARG, ARGH                , Alabama             ,cf2008    
20,22.0,1098.0,20080801.0, ARG, ARGH                , California          ,cf2008    
21,23.0,9031.0,20080801.0, ARG, ARGH                , Wisconsin           ,cf2008    
22,24.0,7918.0,20080801.0, ARG, ARGH                , Texas Tech          ,cf2008    
23,25.0,6696.0,20080801.0, ARG, ARGH                , Rutgers             ,cf2008    
24,26.0,2666.0,20080801.0, ARG, ARGH                , Florida St          ,cf2008    
25,27.0,8315.0,20080801.0, ARG, ARGH                , Utah                ,cf2008    
26,28.0,783.0,20080801.0, ARG, ARGH                , Boston College      ,cf2008    
27,29.0,5912.0,20080801.0, ARG, ARGH                , Oklahoma St         ,cf2008    
28,30.0,8508.0,20080801.0, ARG, ARGH                , Wake Forest         ,cf2008    
