,    1,    2625,   20090801, ARG, ARGH                , Florida             ,cf2009    
0,2.0,7840.0,20090801.0, ARG, ARGH                , Texas               ,cf2009    
1,3.0,5886.0,20090801.0, ARG, ARGH                , Oklahoma            ,cf2009    
2,4.0,8251.0,20090801.0, ARG, ARGH                , USC                 ,cf2009    
3,5.0,8459.0,20090801.0, ARG, ARGH                , Virginia Tech       ,cf2009    
4,6.0,5850.0,20090801.0, ARG, ARGH                , Ohio St             ,cf2009    
5,7.0,3717.0,20090801.0, ARG, ARGH                , Kansas              ,cf2009    
6,8.0,1098.0,20090801.0, ARG, ARGH                , California          ,cf2009    
7,9.0,6114.0,20090801.0, ARG, ARGH                , Penn St             ,cf2009    
8,10.0,74.0,20090801.0, ARG, ARGH                , Alabama             ,cf2009    
9,11.0,2911.0,20090801.0, ARG, ARGH                , Georgia Tech        ,cf2009    
10,12.0,771.0,20090801.0, ARG, ARGH                , Boise St            ,cf2009    
11,13.0,2881.0,20090801.0, ARG, ARGH                , Georgia             ,cf2009    
12,14.0,7878.0,20090801.0, ARG, ARGH                , TCU                 ,cf2009    
13,15.0,2666.0,20090801.0, ARG, ARGH                , Florida St          ,cf2009    
14,16.0,4206.0,20090801.0, ARG, ARGH                , LSU                 ,cf2009    
15,17.0,5970.0,20090801.0, ARG, ARGH                , Oregon St           ,cf2009    
16,18.0,5912.0,20090801.0, ARG, ARGH                , Oklahoma St         ,cf2009    
17,19.0,3540.0,20090801.0, ARG, ARGH                , Iowa                ,cf2009    
18,20.0,4920.0,20090801.0, ARG, ARGH                , Mississippi         ,cf2009    
19,21.0,8508.0,20090801.0, ARG, ARGH                , Wake Forest         ,cf2009    
20,22.0,8315.0,20090801.0, ARG, ARGH                , Utah                ,cf2009    
21,23.0,6236.0,20090801.0, ARG, ARGH                , Pittsburgh          ,cf2009    
22,24.0,5492.0,20090801.0, ARG, ARGH                , North Carolina      ,cf2009    
23,25.0,7918.0,20090801.0, ARG, ARGH                , Texas Tech          ,cf2009    
24,26.0,7278.0,20090801.0, ARG, ARGH                , South Florida       ,cf2009    
25,27.0,8716.0,20090801.0, ARG, ARGH                , West Virginia       ,cf2009    
26,28.0,5961.0,20090801.0, ARG, ARGH                , Oregon              ,cf2009    
27,29.0,4757.0,20090801.0, ARG, ARGH                , Michigan St         ,cf2009    
28,30.0,891.0,20090801.0, ARG, ARGH                , BYU                 ,cf2009    
29,31.0,4948.0,20090801.0, ARG, ARGH                , Missouri            ,cf2009    
30,32.0,1529.0,20090801.0, ARG, ARGH                , Cincinnati          ,cf2009    
31,33.0,2292.0,20090801.0, ARG, ARGH                , East Carolina       ,cf2009    
32,34.0,6696.0,20090801.0, ARG, ARGH                , Rutgers             ,cf2009    
33,35.0,3425.0,20090801.0, ARG, ARGH                , Illinois            ,cf2009    
34,36.0,783.0,20090801.0, ARG, ARGH                , Boston College      ,cf2009    
35,37.0,5749.0,20090801.0, ARG, ARGH                , Notre Dame          ,cf2009    
36,38.0,7582.0,20090801.0, ARG, ARGH                , Stanford            ,cf2009    
37,39.0,1603.0,20090801.0, ARG, ARGH                , Clemson             ,cf2009    
38,40.0,402.0,20090801.0, ARG, ARGH                , Auburn              ,cf2009    
39,41.0,8367.0,20090801.0, ARG, ARGH                , Vanderbilt          ,cf2009    
40,42.0,3781.0,20090801.0, ARG, ARGH                , Kentucky            ,cf2009    
41,43.0,8068.0,20090801.0, ARG, ARGH                , Troy                ,cf2009    
42,44.0,316.0,20090801.0, ARG, ARGH                , Arkansas            ,cf2009    
43,45.0,294.0,20090801.0, ARG, ARGH                , Arizona             ,cf2009    
44,46.0,8432.0,20090801.0, ARG, ARGH                , Virginia            ,cf2009    
45,47.0,1872.0,20090801.0, ARG, ARGH                , Connecticut         ,cf2009    
46,48.0,7801.0,20090801.0, ARG, ARGH                , Tennessee           ,cf2009    
47,49.0,9031.0,20090801.0, ARG, ARGH                , Wisconsin           ,cf2009    
48,50.0,7365.0,20090801.0, ARG, ARGH                , Southern Miss       ,cf2009    
49,51.0,5511.0,20090801.0, ARG, ARGH                , NC State            ,cf2009    
50,52.0,4719.0,20090801.0, ARG, ARGH                , Miami FL            ,cf2009    
51,53.0,8141.0,20090801.0, ARG, ARGH                , UCLA                ,cf2009    
52,54.0,4474.0,20090801.0, ARG, ARGH                , Maryland            ,cf2009    
53,55.0,557.0,20090801.0, ARG, ARGH                , Baylor              ,cf2009    
54,56.0,1404.0,20090801.0, ARG, ARGH                , C Michigan          ,cf2009    
55,57.0,1715.0,20090801.0, ARG, ARGH                , Colorado            ,cf2009    
56,58.0,7848.0,20090801.0, ARG, ARGH                , Texas A&M           ,cf2009    
57,59.0,304.0,20090801.0, ARG, ARGH                , Arizona St          ,cf2009    
58,60.0,5279.0,20090801.0, ARG, ARGH                , Nebraska            ,cf2009    
59,61.0,3347.0,20090801.0, ARG, ARGH                , Houston             ,cf2009    
60,62.0,55.0,20090801.0, ARG, ARGH                , Air Force           ,cf2009    
61,63.0,7242.0,20090801.0, ARG, ARGH                , South Carolina      ,cf2009    
62,64.0,8099.0,20090801.0, ARG, ARGH                , Tulsa               ,cf2009    
63,65.0,4858.0,20090801.0, ARG, ARGH                , Minnesota           ,cf2009    
