,      74,    1,   20120801, ARG, ARGH                , Alabama             ,cf2012    
0,4206.0,2.0,20120801.0, ARG, ARGH                , LSU                 ,cf2012    
1,5886.0,3.0,20120801.0, ARG, ARGH                , Oklahoma            ,cf2012    
2,5912.0,4.0,20120801.0, ARG, ARGH                , Oklahoma St         ,cf2012    
3,8251.0,5.0,20120801.0, ARG, ARGH                , USC                 ,cf2012    
4,402.0,6.0,20120801.0, ARG, ARGH                , Auburn              ,cf2012    
5,7582.0,7.0,20120801.0, ARG, ARGH                , Stanford            ,cf2012    
6,4741.0,8.0,20120801.0, ARG, ARGH                , Michigan            ,cf2012    
7,2666.0,9.0,20120801.0, ARG, ARGH                , Florida St          ,cf2012    
8,5961.0,10.0,20120801.0, ARG, ARGH                , Oregon              ,cf2012    
9,2881.0,11.0,20120801.0, ARG, ARGH                , Georgia             ,cf2012    
10,316.0,12.0,20120801.0, ARG, ARGH                , Arkansas            ,cf2012    
11,5279.0,13.0,20120801.0, ARG, ARGH                , Nebraska            ,cf2012    
12,7242.0,14.0,20120801.0, ARG, ARGH                , South Carolina      ,cf2012    
13,7840.0,15.0,20120801.0, ARG, ARGH                , Texas               ,cf2012    
14,5749.0,16.0,20120801.0, ARG, ARGH                , Notre Dame          ,cf2012    
15,2625.0,17.0,20120801.0, ARG, ARGH                , Florida             ,cf2012    
16,8716.0,18.0,20120801.0, ARG, ARGH                , West Virginia       ,cf2012    
17,8459.0,19.0,20120801.0, ARG, ARGH                , Virginia Tech       ,cf2012    
18,7801.0,20.0,20120801.0, ARG, ARGH                , Tennessee           ,cf2012    
19,3731.0,21.0,20120801.0, ARG, ARGH                , Kansas St           ,cf2012    
20,4948.0,22.0,20120801.0, ARG, ARGH                , Missouri            ,cf2012    
21,4757.0,23.0,20120801.0, ARG, ARGH                , Michigan St         ,cf2012    
22,557.0,24.0,20120801.0, ARG, ARGH                , Baylor              ,cf2012    
23,5850.0,25.0,20120801.0, ARG, ARGH                , Ohio St             ,cf2012    
24,7878.0,26.0,20120801.0, ARG, ARGH                , TCU                 ,cf2012    
25,1603.0,27.0,20120801.0, ARG, ARGH                , Clemson             ,cf2012    
26,771.0,28.0,20120801.0, ARG, ARGH                , Boise St            ,cf2012    
27,8315.0,29.0,20120801.0, ARG, ARGH                , Utah                ,cf2012    
28,9031.0,30.0,20120801.0, ARG, ARGH                , Wisconsin           ,cf2012    
29,7848.0,31.0,20120801.0, ARG, ARGH                , Texas A&M           ,cf2012    
30,7918.0,32.0,20120801.0, ARG, ARGH                , Texas Tech          ,cf2012    
31,5511.0,33.0,20120801.0, ARG, ARGH                , NC State            ,cf2012    
32,891.0,34.0,20120801.0, ARG, ARGH                , BYU                 ,cf2012    
33,8367.0,35.0,20120801.0, ARG, ARGH                , Vanderbilt          ,cf2012    
34,4936.0,36.0,20120801.0, ARG, ARGH                , Mississippi St      ,cf2012    
35,7278.0,37.0,20120801.0, ARG, ARGH                , South Florida       ,cf2012    
36,3347.0,38.0,20120801.0, ARG, ARGH                , Houston             ,cf2012    
37,6696.0,39.0,20120801.0, ARG, ARGH                , Rutgers             ,cf2012    
38,8551.0,40.0,20120801.0, ARG, ARGH                , Washington          ,cf2012    
39,2911.0,41.0,20120801.0, ARG, ARGH                , Georgia Tech        ,cf2012    
40,3540.0,42.0,20120801.0, ARG, ARGH                , Iowa                ,cf2012    
41,4224.0,43.0,20120801.0, ARG, ARGH                , Louisville          ,cf2012    
42,1529.0,44.0,20120801.0, ARG, ARGH                , Cincinnati          ,cf2012    
43,6114.0,45.0,20120801.0, ARG, ARGH                , Penn St             ,cf2012    
44,1098.0,46.0,20120801.0, ARG, ARGH                , California          ,cf2012    
45,3554.0,47.0,20120801.0, ARG, ARGH                , Iowa St             ,cf2012    
46,5492.0,48.0,20120801.0, ARG, ARGH                , North Carolina      ,cf2012    
47,6236.0,49.0,20120801.0, ARG, ARGH                , Pittsburgh          ,cf2012    
