,Game Code,Winning Team Code,Losing Team Code,Winning Team Points,Losing Team Points,Winning Team Seed,Losing Team Seed,Upset Factor
0,128000520120830.0,128.0,5.0,56.0,14.0,,,
1,5023120120908.0,231.0,5.0,41.0,38.0,,,
2,446000520120915.0,5.0,446.0,66.0,6.0,,,
3,5069420120922.0,694.0,5.0,47.0,26.0,,,
4,414000520120929.0,414.0,5.0,56.0,49.0,,,
5,71000520121006.0,71.0,5.0,24.0,10.0,,,
6,5051920121013.0,519.0,5.0,34.0,28.0,,,
7,503000520121020.0,503.0,5.0,37.0,7.0,,,
8,5012920121027.0,129.0,5.0,35.0,14.0,,,
9,5033120121103.0,331.0,5.0,35.0,24.0,,,
10,400000520121110.0,400.0,5.0,22.0,14.0,,,
11,5070920121120.0,709.0,5.0,35.0,23.0,,,
12,418000820120901.0,8.0,418.0,41.0,14.0,,,
13,772000820120908.0,8.0,772.0,35.0,0.0,,,
14,8003120120915.0,8.0,31.0,52.0,0.0,,,
15,229000820120922.0,8.0,229.0,40.0,7.0,,,
16,433000820120929.0,8.0,433.0,33.0,14.0,,,
17,8043420121013.0,8.0,434.0,42.0,10.0,,,
18,8069420121020.0,8.0,694.0,44.0,13.0,,,
19,430000820121027.0,8.0,430.0,38.0,7.0,,,
20,8036520121103.0,8.0,365.0,21.0,17.0,,,
21,697000820121110.0,697.0,8.0,29.0,24.0,,,
22,769000820121117.0,8.0,769.0,49.0,0.0,,,
23,37000820121124.0,8.0,37.0,49.0,0.0,,,
24,8025720121201.0,8.0,257.0,32.0,28.0,,,
25,8051320130107.0,8.0,513.0,42.0,14.0,,,
26,716000920120901.0,716.0,9.0,39.0,29.0,,,
27,9064820120915.0,648.0,9.0,49.0,6.0,,,
28,9051820120922.0,518.0,9.0,29.0,15.0,,,
29,719000920120929.0,719.0,9.0,49.0,42.0,,,
30,655000920121006.0,9.0,655.0,52.0,3.0,,,
31,9028820121013.0,288.0,9.0,39.0,17.0,,,
32,196000920121020.0,196.0,9.0,42.0,35.0,,,
33,9071820121027.0,718.0,9.0,55.0,45.0,,,
34,9066420121103.0,9.0,664.0,27.0,19.0,,,
35,388000920121110.0,9.0,388.0,38.0,31.0,,,
36,404000920121117.0,404.0,9.0,46.0,9.0,,,
37,9012820121124.0,128.0,9.0,49.0,24.0,,,
38,501002820120830.0,28.0,501.0,63.0,6.0,,,
39,301002820120908.0,28.0,301.0,45.0,14.0,,,
40,28043420120915.0,434.0,28.0,24.0,20.0,,,
41,732002820120922.0,28.0,732.0,37.0,7.0,,,
42,28010720120929.0,28.0,107.0,27.0,17.0,,,
43,28015720121011.0,28.0,157.0,51.0,17.0,,,
44,529002820121018.0,529.0,28.0,43.0,21.0,,,
45,110002820121027.0,110.0,28.0,45.0,43.0,,,
46,28052820121103.0,528.0,28.0,36.0,26.0,,,
47,28065720121110.0,657.0,28.0,38.0,17.0,,,
48,754002820121117.0,28.0,754.0,46.0,7.0,,,
49,28002920121123.0,28.0,29.0,41.0,34.0,,,
50,726002820121229.0,28.0,726.0,62.0,28.0,,,
51,709002920120901.0,29.0,709.0,24.0,17.0,,,
52,521002920120908.0,29.0,521.0,59.0,38.0,,,
53,647002920120915.0,29.0,647.0,56.0,0.0,,,
54,29052920120922.0,529.0,29.0,49.0,0.0,,,
55,528002920120929.0,528.0,29.0,38.0,35.0,,,
56,29067420121006.0,674.0,29.0,54.0,48.0,,,
57,756002920121020.0,29.0,756.0,52.0,17.0,,,
58,657002920121027.0,29.0,657.0,39.0,36.0,,,
59,29011020121103.0,110.0,29.0,66.0,10.0,,,
60,157002920121110.0,29.0,157.0,56.0,31.0,,,
61,29073220121117.0,29.0,732.0,34.0,24.0,,,
62,466002920121215.0,29.0,466.0,49.0,48.0,,,
63,30052920120901.0,529.0,30.0,57.0,34.0,,,
64,404003020120908.0,30.0,404.0,33.0,28.0,,,
65,30046320120915.0,463.0,30.0,42.0,13.0,,,
66,17003020120922.0,30.0,17.0,56.0,0.0,,,
67,772003020120929.0,772.0,30.0,26.0,13.0,,,
68,30023120121004.0,30.0,231.0,34.0,20.0,,,
69,646003020121013.0,30.0,646.0,36.0,29.0,,,
70,30067120121023.0,30.0,671.0,50.0,27.0,,,
71,30049720121103.0,30.0,497.0,37.0,19.0,,,
72,498003020121108.0,30.0,498.0,45.0,23.0,,,
73,30071620121117.0,30.0,716.0,41.0,34.0,,,
74,419003020121201.0,30.0,419.0,45.0,0.0,,,
75,331003020130106.0,30.0,331.0,17.0,13.0,,,
76,315003120120901.0,31.0,315.0,49.0,24.0,,,
77,31049820120908.0,498.0,31.0,34.0,31.0,,,
78,587003120120922.0,587.0,31.0,35.0,26.0,,,
79,31069720120929.0,697.0,31.0,58.0,10.0,,,
80,31003720121006.0,31.0,37.0,24.0,7.0,,,
81,334003120121013.0,31.0,334.0,49.0,7.0,,,
82,433003120121027.0,433.0,31.0,30.0,27.0,,,
83,719003120121103.0,31.0,719.0,19.0,15.0,,,
84,31064820121110.0,648.0,31.0,38.0,20.0,,,
85,31043020121117.0,430.0,31.0,45.0,14.0,,,
86,365003120121123.0,365.0,31.0,20.0,13.0,,,
87,147003720120901.0,147.0,37.0,26.0,19.0,,,
88,37043020120908.0,430.0,37.0,28.0,10.0,,,
89,498003720120915.0,37.0,498.0,31.0,28.0,,,
90,365003720120922.0,365.0,37.0,12.0,10.0,,,
91,37043320121013.0,433.0,37.0,41.0,20.0,,,
92,37073620121020.0,736.0,37.0,17.0,13.0,,,
93,697003720121027.0,697.0,37.0,63.0,21.0,,,
94,472003720121103.0,37.0,472.0,42.0,7.0,,,
95,257003720121110.0,257.0,37.0,38.0,0.0,,,
96,6003720121117.0,37.0,6.0,51.0,7.0,,,
97,204004720120830.0,47.0,204.0,37.0,26.0,,,
98,47014720120908.0,147.0,47.0,52.0,27.0,,,
99,47030620120915.0,47.0,306.0,41.0,39.0,,,
100,651004720120922.0,47.0,651.0,31.0,27.0,,,
101,47033120120929.0,331.0,47.0,45.0,43.0,,,
102,503004720121006.0,503.0,47.0,35.0,23.0,,,
103,774004720121013.0,47.0,774.0,30.0,24.0,,,
104,47012920121020.0,47.0,129.0,41.0,30.0,,,
105,47072520121027.0,47.0,725.0,30.0,22.0,,,
106,47070920121106.0,47.0,709.0,34.0,27.0,,,
107,519004720121114.0,47.0,519.0,52.0,27.0,,,
108,47041420121123.0,47.0,414.0,31.0,24.0,,,
109,47012820121221.0,128.0,47.0,38.0,17.0,,,
110,663005120120902.0,51.0,663.0,59.0,24.0,,,
111,624005120120915.0,51.0,624.0,48.0,23.0,,,
112,51049820120921.0,51.0,498.0,47.0,42.0,,,
113,51076820120929.0,768.0,51.0,70.0,63.0,,,
114,698005120121013.0,698.0,51.0,49.0,21.0,,,
115,51070320121020.0,703.0,51.0,56.0,50.0,,,
116,51031120121027.0,311.0,51.0,35.0,21.0,,,
117,328005120121103.0,51.0,328.0,41.0,14.0,,,
118,51052220121110.0,522.0,51.0,42.0,34.0,,,
119,327005120121117.0,51.0,327.0,52.0,24.0,,,
120,51070020121124.0,51.0,700.0,52.0,45.0,,,
121,521005120121201.0,51.0,521.0,41.0,34.0,,,
122,51011020121227.0,51.0,110.0,49.0,26.0,,,
123,66041620120831.0,416.0,66.0,17.0,13.0,,,
124,414006620120915.0,66.0,414.0,39.0,12.0,,,
125,77006620120920.0,66.0,77.0,7.0,6.0,,,
126,66047320120929.0,66.0,473.0,32.0,29.0,,,
127,66066420121006.0,66.0,664.0,40.0,14.0,,,
128,96006620121013.0,66.0,96.0,20.0,10.0,,,
129,465006620121020.0,66.0,465.0,32.0,7.0,,,
130,66081120121027.0,66.0,811.0,45.0,14.0,,,
131,626006620121103.0,626.0,66.0,21.0,19.0,,,
132,66027720121110.0,66.0,277.0,49.0,14.0,,,
133,156006620121117.0,66.0,156.0,42.0,14.0,,,
134,66046620121201.0,66.0,466.0,27.0,21.0,,,
135,756006620121222.0,66.0,756.0,28.0,26.0,,,
136,415006720120901.0,415.0,67.0,41.0,32.0,,,
137,380006720120908.0,67.0,380.0,34.0,3.0,,,
138,67050920120915.0,509.0,67.0,22.0,13.0,,,
139,147006720120929.0,147.0,67.0,45.0,31.0,,,
140,67072520121006.0,725.0,67.0,34.0,31.0,,,
141,67023420121013.0,234.0,67.0,51.0,7.0,,,
142,67025520121020.0,255.0,67.0,37.0,17.0,,,
143,392006720121027.0,67.0,392.0,20.0,17.0,,,
144,67074920121103.0,749.0,67.0,28.0,14.0,,,
145,513006720121110.0,513.0,67.0,21.0,6.0,,,
146,742006720121117.0,742.0,67.0,30.0,23.0,,,
147,67049020121124.0,490.0,67.0,27.0,10.0,,,
148,71023520120901.0,235.0,71.0,27.0,14.0,,,
149,295007120120908.0,71.0,295.0,21.0,13.0,,,
150,71070920120915.0,709.0,71.0,27.0,15.0,,,
151,71074220120922.0,742.0,71.0,37.0,0.0,,,
152,572007120120929.0,71.0,572.0,48.0,8.0,,,
153,414007120121013.0,71.0,414.0,37.0,12.0,,,
154,71040020121020.0,71.0,400.0,24.0,0.0,,,
155,204007120121027.0,71.0,204.0,24.0,3.0,,,
156,71051920121107.0,71.0,519.0,26.0,14.0,,,
157,331007120121117.0,331.0,71.0,31.0,24.0,,,
158,86007120121123.0,71.0,86.0,21.0,7.0,,,
159,630007120121227.0,630.0,71.0,29.0,20.0,,,
160,754007720120830.0,77.0,754.0,30.0,6.0,,,
161,758007720120908.0,77.0,758.0,45.0,13.0,,,
162,77073220120915.0,732.0,77.0,24.0,21.0,,,
163,277007720120928.0,77.0,277.0,47.0,0.0,,,
164,731007720121005.0,77.0,731.0,6.0,3.0,,,
165,528007720121013.0,528.0,77.0,42.0,24.0,,,
166,77051320121020.0,513.0,77.0,17.0,14.0,,,
167,77025520121027.0,77.0,255.0,41.0,17.0,,,
168,295007720121110.0,77.0,295.0,52.0,13.0,,,
169,77063020121117.0,630.0,77.0,20.0,14.0,,,
170,77047220121124.0,77.0,472.0,50.0,14.0,,,
171,77062620121220.0,77.0,626.0,23.0,6.0,,,
172,86025720120901.0,257.0,86.0,45.0,23.0,,,
173,446008620120908.0,86.0,446.0,56.0,34.0,,,
174,331008620120919.0,331.0,86.0,23.0,7.0,,,
175,86016420120929.0,164.0,86.0,24.0,17.0,,,
176,86051920121006.0,519.0,86.0,38.0,31.0,,,
177,86050320121013.0,503.0,86.0,45.0,3.0,,,
178,545008620121020.0,545.0,86.0,20.0,6.0,,,
179,709008620121027.0,709.0,86.0,25.0,20.0,,,
180,414008620121103.0,86.0,414.0,27.0,24.0,,,
181,774008620121110.0,86.0,774.0,29.0,24.0,,,
182,86040020121117.0,86.0,400.0,29.0,19.0,,,
183,758009620120901.0,96.0,758.0,37.0,10.0,,,
184,96052920120908.0,529.0,96.0,42.0,25.0,,,
185,157009620120915.0,96.0,157.0,69.0,14.0,,,
186,96071920120922.0,719.0,96.0,27.0,26.0,,,
187,626009620120929.0,96.0,626.0,52.0,40.0,,,
188,96015620121006.0,96.0,156.0,28.0,7.0,,,
189,811009620121020.0,96.0,811.0,42.0,14.0,,,
190,96047320121027.0,96.0,473.0,49.0,32.0,,,
191,277009620121103.0,96.0,277.0,45.0,10.0,,,
192,96046620121110.0,96.0,466.0,52.0,36.0,,,
193,721009620121124.0,96.0,721.0,48.0,15.0,,,
194,96066320121224.0,663.0,96.0,43.0,10.0,,,
195,466010720120901.0,466.0,107.0,31.0,24.0,,,
196,667010720120908.0,107.0,667.0,50.0,31.0,,,
197,107051820120915.0,518.0,107.0,35.0,28.0,,,
198,107065720120922.0,657.0,107.0,27.0,9.0,,,
199,110010720121006.0,107.0,110.0,43.0,17.0,,,
200,107075420121013.0,107.0,754.0,31.0,17.0,,,
201,674010720121020.0,674.0,107.0,21.0,3.0,,,
202,107073220121027.0,732.0,107.0,49.0,27.0,,,
203,756010720121102.0,756.0,107.0,21.0,13.0,,,
204,529010720121110.0,529.0,107.0,59.0,17.0,,,
205,107052820121117.0,528.0,107.0,62.0,14.0,,,
206,110057420120830.0,110.0,574.0,49.0,24.0,,,
207,463011020120908.0,110.0,463.0,36.0,30.0,,,
208,288011020120915.0,110.0,288.0,37.0,6.0,,,
209,528011020120922.0,528.0,110.0,27.0,20.0,,,
210,110015720120929.0,110.0,157.0,42.0,14.0,,,
211,732011020121013.0,110.0,732.0,21.0,14.0,,,
212,110075420121110.0,110.0,754.0,44.0,36.0,,,
213,657011020121117.0,110.0,657.0,38.0,28.0,,,
214,674011020121124.0,674.0,110.0,35.0,17.0,,,
215,110067420121130.0,674.0,110.0,27.0,24.0,,,
